Team,City,State
DC Breeze,Washington,DC
New York Empire,New York City,NY
Philadelphia Phoenix,Philadelphia,PA
Chicago Wildfire,Chicago,IL
Detroit Mechanix,Madison Heights,MI
Indianapolis AlleyCats,Indianapolis,IN
Madison Radicals,Madison,WI
Minnesota Wind Chill,St. Paul,MN
Pittsburgh Thunderbirds,Pittsburgh,PA
Los Angeles Aviators,Los Angeles,CA
San Diego Growlers,San Diego,CA
San Francisco FlameThrowers,Oakland,CA
San Jose Spiders,Los Altos Hills,CA
Seattle Cascades,Seattle,WA
Atlanta Hustle,Atlanta,GA
Austin Sol,Austin,TX
Dallas Roughnecks,Dallas,TX
Jacksonville Cannons,Jacksonville,FL
Nashville Nightwatch,Nashville,TN
Raleigh Flyers,Raleigh,NC
Cincinnati Revolution,Cincinnati,OH
Rochester Dragons,Rochester,NY
Charlotte Express,Charlotte,NC
Columbus Cranes,Columbus,OH
Connecticut Constitution,New Britain,CT
New Jersey Hammerheads,West Windsor Township,NJ
Rhode Island Rampage,East Providence,RI
Salt Lake Lions,Salt Lake City,UT
